year,month,asset_held,spy_return,shy_return,net_return,win
2022,1,SPY,-0.05819432025373816,-0.00573581547782176,-0.05875959603519887,False
2022,2,SHY,-0.03603024508783015,-0.004239231018047573,-0.004321103054978348,True
2022,3,SHY,0.05363766947913051,-0.016287054875236184,-0.017537221320032992,False
2022,4,SPY,-0.09034702286741103,-0.002886554374123884,-0.08835501277665925,False
2022,5,SHY,-0.003739732425852571,0.006034876969739367,0.002621572842853581,True
2022,6,SPY,-0.07497834116683766,-0.004089597058013261,-0.08304229602627689,False
2022,7,SHY,0.08065765166903582,0.001084330764835606,0.0007581267095335686,False
2022,8,SPY,-0.03795326286725187,-0.00807644746547298,-0.04140394630018562,False
2022,9,SHY,-0.0952847727545747,-0.011201694351548386,-0.011923699143026822,True
2022,10,SHY,0.05346285100370651,-0.003445040860853732,-0.0044843835913438435,False
2022,11,SPY,0.0602308092095134,0.00792287638806255,0.054959120215624546,True
2022,12,SHY,-0.056934279294159285,-0.0009744827873729989,0.0011769793846283516,True
2023,1,SHY,0.06738088226209493,0.006893555440736554,0.0044127349933693605,False
2023,2,SPY,-0.035394249158099966,-0.009780846597667314,-0.025142580664007763,False
2023,3,SPY,0.04107113335134427,0.01834394429974262,0.036445644494094154,True
2023,4,SHY,0.012118141227524415,0.0012185868150471624,-0.0009358940314978526,False
2023,5,SPY,0.005631721241552201,-0.0015891969295097619,0.004616233291182104,True
2023,6,SPY,0.05477828139209251,-0.006493972584162289,0.06479971651485372,True
2023,7,SPY,0.03154655142008633,0.004209002002110829,0.032733324780110484,True
2023,8,SPY,-0.013428755087617095,0.00494788212638575,-0.01625200617128497,False
2023,9,SPY,-0.049207879579993286,-0.0002467642231576139,-0.04743444552752629,False
2023,10,SPY,-0.021319393318153135,0.00433800247491356,-0.02230655533135728,False
2023,11,SHY,0.07982761195780963,0.008273484093490602,0.006856016917576202,False
2023,12,SPY,0.03950566180017523,0.008099149789669857,0.04565535320088321,True
2024,1,SPY,0.021644012127387313,0.004393362964003389,0.0159264986653751,True
2024,2,SPY,0.03859351904199659,-0.005354542883678537,0.052186891670109814,True
2024,3,SPY,0.023096750012305156,0.001469507340867704,0.032089224720418086,True
2024,4,SHY,-0.038647067085210596,-0.0023356754611242314,-0.004416591467424458,True
2024,5,SHY,0.05400203112158075,0.005181985560515967,0.003117640852494441,False
2024,6,SPY,0.034436777638908955,0.004305021002029008,0.03528013273987951,True
2024,7,SPY,0.010030500382254726,0.012667507917381693,0.0115221736892821,False
2024,8,SHY,0.03806538998558762,0.007176900917160056,0.004678436825284349,False
2024,9,SPY,0.042457254390320776,0.006658926436831969,0.02040803893702492,True
2024,10,SHY,3.507331962748772e-05,-0.006873286160207326,-0.006238170912885144,False
2024,11,SHY,0.05517991871795713,0.0032905178559534676,-0.001491383687096115,False
2024,12,SPY,-0.02224910866468499,0.0019540084614360076,-0.021075428681373576,False
