date,ticker,action,shares,price,cost,gross_notional,regime
2003-02-03,XLU,buy,7934.04918466434,4.201301574707031,61.12676140159695,33333.33333333333,B
2003-02-03,XLP,buy,3096.6802390954103,10.764215469360352,38.160854946089074,33333.33333333333,B
2003-02-03,XLV,buy,1855.4159426025988,17.965423583984375,30.52270564427123,33333.33333333333,B
2003-03-03,XLU,sell,7934.04918466434,3.9907898902893066,59.127067092598985,31663.123275216563,D
2003-03-03,XLP,sell,3096.6802390954103,10.313154220581055,35.14023308223102,31936.540877616782,D
2003-03-03,XLV,sell,1855.4159426025988,17.549516677856445,30.091023818384983,32561.653029065044,D
2003-03-03,XLI,buy,3874.3712030985193,12.393173217773438,54.856733040598584,48015.75342995322,D
2003-03-03,XLF,buy,4530.522813346248,10.598280906677246,50.22273343430717,48015.75342995322,D
2003-04-01,XLI,sell,3874.3712030985193,12.75318431854248,52.18407279144009,49410.5700715686,A
2003-04-01,XLF,sell,4530.522813346248,10.896490097045898,52.54588577380466,49366.79697006791,A
2003-04-01,XLK,buy,6085.099502879295,5.398319244384766,50.85587679992778,32849.30975038947,A
2003-04-01,XLY,buy,3760.6841946359054,8.734929084777832,40.483483024387134,32849.30975038947,A
2003-04-01,XLF,buy,3014.6688940960084,10.896490097045898,34.32589970147909,32849.30975038947,A
2003-05-01,XLK,sell,6085.099502879295,5.879583358764648,51.47092552836457,35777.84977355614,D
2003-05-01,XLY,sell,3760.6841946359054,9.555255889892578,41.17214178976867,35934.29980082066,D
2003-05-01,XLF,sell,3014.6688940960084,11.944718360900879,34.88968760959805,36009.37089134534,D
2003-05-01,XLI,buy,3914.409609090445,13.730183601379395,56.23139977392319,53745.56262381555,D
2003-05-01,XLF,buy,4499.525313191397,11.944718360900879,52.67385045477875,53745.56262381555,D
2003-07-01,XLI,sell,3914.409609090445,14.64804744720459,56.674584965121326,57338.457681750406,A
2003-07-01,XLF,sell,4499.525313191397,12.760485649108887,53.96046189592137,57416.12818678099,A
2003-07-01,XLK,buy,5911.064770769485,6.457840919494629,51.4775356677425,38172.71595445832,A
2003-07-01,XLY,buy,3713.404383896149,10.279708862304688,41.126521976629014,38172.71595445832,A
2003-07-01,XLF,buy,2991.478302953467,12.760485649108887,35.5371086739205,38172.71595445832,A
2003-08-01,XLK,sell,5911.064770769485,6.532454013824463,52.987214886438295,38613.758787789506,C
2003-08-01,XLY,sell,3713.404383896149,10.48127555847168,42.39613076577666,38921.21460765229,C
2003-08-01,XLF,sell,2991.478302953467,12.904326438903809,35.97229667334889,38603.01255620952,C
2003-08-01,XLE,buy,9384.96564155368,6.174727439880371,82.26145674543292,57949.60486923599,C
2003-08-01,XLB,buy,8581.65234467829,6.752732753753662,79.4838041704144,57949.604869236005,C
2003-09-02,XLE,sell,9384.96564155368,6.628361701965332,83.92698930305545,62206.94683273491,D
2003-09-02,XLB,sell,8581.65234467829,7.094488620758057,77.67937056252752,60882.43490662183,D
2003-09-02,XLI,buy,3858.0221004784753,15.914408683776855,54.45358516219928,61398.14041805767,D
2003-09-02,XLF,buy,4637.940227263036,13.238234519958496,56.052907337866785,61398.14041805767,D
2003-10-01,XLI,sell,3858.0221004784753,15.558212280273438,54.77760441035346,60023.92682123054,B
2003-10-01,XLF,sell,4637.940227263036,13.452908515930176,56.68816811913078,62393.78557972203,B
2003-10-01,XLU,buy,8060.810289440989,5.051005840301514,62.758517470192544,40715.19984952897,B
2003-10-01,XLP,buy,3486.6919914603404,11.677314758300781,41.630589587481246,40715.19984952897,B
2003-10-01,XLV,buy,2091.506928994536,19.466920852661133,35.06794778855495,40715.19984952898,B
2003-11-03,XLU,sell,8060.810289440989,5.103979110717773,62.897745041556405,41142.2073327657,A
2003-11-03,XLP,sell,3486.6919914603404,12.094968795776367,40.62076362531142,42171.430837196174,A
2003-11-03,XLV,sell,2091.506928994536,19.198741912841797,34.593961749413246,40154.30173868643,A
2003-11-03,XLK,buy,5482.713221291698,7.491243362426758,51.63827814476825,41072.33902709086,A
2003-11-03,XLY,buy,3557.2790665381463,11.545998573303223,41.97898096035905,41072.33902709086,A
2003-11-03,XLF,buy,2896.279979313335,14.181066513061523,35.868497119212655,41072.33902709086,A
2003-12-01,XLK,sell,5482.713221291698,7.498707294464111,52.538267582327954,41113.26162595488,D
2003-12-01,XLY,sell,3557.2790665381463,11.671664237976074,42.59426882564094,41519.366865414195,D
2003-12-01,XLF,sell,2896.279979313335,14.139747619628906,36.07524114600457,40952.66794327459,D
2003-12-01,XLI,buy,3678.146555969773,16.763565063476562,54.306935354310006,61658.84910400153,D
